,date,latitude,longitude,depth,magnitude,magnitude type,place
16808,1996-03-10T21:12:16+0000,50.5709,-130.4223,10.0,4.7,Mw,212 km W   of Pt. Hardy
16810,1996-03-11T11:20:07+0000,63.4499,-131.6168,0.0,4.1,ML,Hess Mountains
16825,1996-03-14T10:42:26+0000,45.9248,-74.3956,18.0,4.4,MN,Felt; Western Quebec Seismic Zone.
16831,1996-03-16T23:18:37+0000,50.4712,-130.3314,10.0,4.4,mb,West of Vancouver Island
16832,1996-03-16T23:18:37+0000,50.4635,-130.3146,10.0,5.1,Mw,206 km W   of Pt. Hardy
16838,1996-03-18T08:01:58+0000,49.6892,-127.3062,38.5,5.0,Mw,86 km W   of Gold R.
16913,1996-04-09T16:11:11+0000,72.778,-77.4786,18.0,4.3,MN,Baffin Island
16991,1996-05-03T04:04:22+0000,47.7608,-121.876,4.3,5.5,ML,38 km ENE of Seattle
17044,1996-05-16T03:07:37+0000,56.6723,-87.2474,18.0,4.0,MN,Southwestern Hudson
17106,1996-06-02T06:25:45+0000,76.7406,-86.656,18.0,4.0,MN,Southern Ellesmere Island
17136,1996-06-07T23:07:07+0000,69.4586,-125.3018,20.0,4.3,MN,Near Franklin Bay
17245,1996-07-05T01:08:37+0000,59.1531,-136.5043,5.0,4.1,ML,Glacier Bay
17277,1996-07-14T15:30:48+0000,63.3257,-131.2342,1.0,4.0,ML,Hess Mountains
17294,1996-07-19T16:21:43+0000,58.2803,-142.6982,10.0,4.0,MLSn,216 km WSW of Yakutat
17304,1996-07-21T20:38:19+0000,64.3707,-137.5766,0.0,5.0,ML,95 km E   of Dawson
17434,1996-08-16T03:41:09+0000,51.0621,-130.7476,10.0,5.2,Mw,South of Moresby Island
17435,1996-08-16T03:41:09+0000,51.065,-130.7348,10.0,5.2,Mw,217 km WSW of Bella Bella
17445,1996-08-16T09:54:39+0000,51.1378,-130.6705,10.0,4.8,Mw,South of Moresby Island
17446,1996-08-16T09:54:39+0000,51.1387,-130.6638,10.0,4.8,Mw,208 km WSW of Bella Bella
17466,1996-08-20T22:41:07+0000,50.5077,-130.274,10.0,4.1,Mw,West of Vancouver Island
17467,1996-08-20T22:41:07+0000,50.5076,-130.265,10.0,4.1,Mw,202 km W   of Pt. Hardy
17478,1996-08-23T05:33:26+0000,70.3245,-132.2771,35.0,4.1,MLSn,Beaufort Sea.
17479,1996-08-23T05:33:26+0000,70.3316,-132.2753,35.0,4.6,mb,Beaufort Sea.
17482,1996-08-23T09:13:40+0000,47.5057,-129.3485,10.0,4.1,mb,Southwest of Vancouver Island
17483,1996-08-23T09:13:40+0000,47.5057,-129.3485,10.0,4.7,Mw,Southwest of Vancouver Island
17493,1996-08-25T00:49:08+0000,67.1171,-144.6867,5.0,4.3,ML,Northeastern Alaska.
17511,1996-08-29T22:02:33+0000,65.5776,-144.5839,5.0,4.0,ML,Eastern Alaska.
17534,1996-09-03T05:18:09+0000,61.3391,-140.2096,10.0,4.4,ML,St. Elias Mountains
17560,1996-09-09T18:52:58+0000,60.6779,-42.323,18.0,5.1,ML,Western Greenland.
17564,1996-09-09T22:28:09+0000,49.0114,-128.8332,10.0,4.2,Mw,211 km SW of Gold R.
17586,1996-09-19T18:06:28+0000,63.7819,-128.7016,0.0,4.2,ML,Mackenzie Mountains
17665,1996-10-06T20:13:05+0000,48.8047,-128.408,10.0,6.3,Mw,186 km W   of Tofino
17666,1996-10-06T20:29:08+0000,48.8479,-128.1668,10.0,4.8,Mw,167 km SW of Tofino
17667,1996-10-06T20:43:17+0000,48.7922,-128.25,10.0,4.9,Mw,175 km W   of Tofino
17670,1996-10-06T22:22:59+0000,48.8897,-128.1719,10.0,4.1,ML,SW of Nootka Island
17672,1996-10-06T23:10:20+0000,48.8099,-128.1143,10.0,4.0,ML,SW of Nootka Island
17675,1996-10-07T02:04:15+0000,48.815,-128.1567,10.0,4.6,Mw,167 km SW of Tofino
17679,1996-10-07T06:20:14+0000,48.8537,-128.2002,10.0,4.0,ML,SW of Nootka Island
17680,1996-10-07T07:37:21+0000,48.831,-128.3238,10.0,4.5,Mw,179 km SW of Tofino
17682,1996-10-07T10:18:54+0000,48.9438,-128.2589,10.0,4.5,Mw,172 km SW of Tofino
17685,1996-10-07T18:36:05+0000,48.9192,-128.118,10.0,4.9,Mw,162 km W   of Tofino
17689,1996-10-08T05:03:39+0000,48.7852,-128.3396,10.0,4.3,ML,181 km W   of Tofino
17697,1996-10-09T07:12:24+0000,49.4899,-129.9402,10.0,5.8,Mw,224 km WSW of Pt. Hardy
17698,1996-10-09T09:52:01+0000,49.5463,-129.9196,10.0,4.2,Mw,219 km SW of Pt. Hardy
17711,1996-10-13T11:33:23+0000,48.8991,-128.1635,10.0,4.5,Mw,166 km SW of Tofino
17718,1996-10-14T23:03:32+0000,48.8407,-128.2033,10.0,4.6,Mw,170 km SW of Tofino
17719,1996-10-14T23:42:31+0000,48.835,-128.2276,10.0,4.3,ML,SW of Nootka Island
17724,1996-10-16T04:33:51+0000,64.1289,-137.0532,0.0,4.9,ML,Ogilvie Mountains
17753,1996-10-22T22:15:02+0000,63.34,-145.35,4.4,5.9,Mw,202 km ESE of Fairbanks
17757,1996-10-24T02:47:46+0000,55.1249,-142.5245,10.0,4.5,MLSn,495 km WSW of Sitka
17765,1996-10-26T20:05:33+0000,63.9455,-130.0109,0.0,4.7,ML,Mackenzie Mountains
17814,1996-11-06T06:55:46+0000,50.4544,-130.2132,10.0,4.5,Mw,199 km SW of Pt. Hardy
17815,1996-11-06T06:55:46+0000,50.4523,-130.1888,10.0,4.5,Mw,197 km W   of Pt. Hardy
17874,1996-11-21T01:24:33+0000,49.5862,-128.7953,10.0,4.4,Mw,158 km SW of Pt. Hardy
17875,1996-11-21T01:25:10+0000,49.5786,-128.7857,10.0,4.3,mb,Southwest of Brooks Peninsula
17876,1996-11-21T01:30:42+0000,49.5877,-128.8157,10.0,4.2,Mw,159 km SW of Pt. Hardy
17902,1996-11-27T22:38:25+0000,64.9269,-133.6234,0.0,4.0,ML,Wernecke Mountains
17918,1996-12-02T20:59:27+0000,61.6463,-60.9384,18.0,4.1,ML,LABRADOR SEA SEISMIC ZONE.
17989,1996-12-24T12:40:36+0000,51.8954,-131.6204,15.5,4.4,ML,West of Moresby Island
18028,1997-01-04T03:42:36+0000,65.0107,-134.2599,5.3,4.9,mb,Wernecke Mountains
18113,1997-01-30T05:28:20+0000,59.1833,-144.9517,10.0,4.7,MLSn,229 km SE  of Valdez
18130,1997-02-05T19:27:24+0000,51.6644,-131.3989,11.0,4.3,ML,South of Moresby Island
18131,1997-02-05T19:29:05+0000,51.5545,-131.4641,29.1,5.3,MB,South of Moresby Island
18142,1997-02-13T20:25:37+0000,72.566,-137.323,18.0,4.1,ML,Beaufort Sea.
18163,1997-02-24T01:04:51+0000,58.7745,-136.1118,10.0,4.4,ML,62 km WSW of Haines
18206,1997-03-09T14:33:23+0000,66.5113,-135.7818,0.0,4.8,ML,Richardson Mountains. Y.T.
18223,1997-03-15T03:46:50+0000,59.6079,-48.531,18.0,4.3,ML,Southern Greenland
18284,1997-03-29T05:45:42+0000,50.4753,-130.2259,10.0,4.5,Mw,200 km SW of Pt. Hardy
18285,1997-03-29T05:45:42+0000,50.4748,-130.2115,10.0,4.5,Mw,199 km W   of Pt. Hardy
18292,1997-03-30T06:50:40+0000,50.4846,-130.2207,10.0,4.5,Mw,199 km SW of Pt. Hardy
18293,1997-03-30T06:50:40+0000,50.4835,-130.1964,10.0,4.5,Mw,197 km W   of Pt. Hardy
18295,1997-03-31T02:01:42+0000,52.7602,-116.1679,0.0,4.0,MN,Southeast of Jasper
18309,1997-04-05T04:02:38+0000,65.7807,-136.8625,0.0,4.1,ML,Wernecke Mountains
18352,1997-04-13T20:25:57+0000,51.3479,-131.2001,10.0,4.9,Mw,215 km SE of Sandspit
18353,1997-04-13T20:25:56+0000,51.2994,-131.2374,10.0,4.9,Mw,220 km SSE of Sandspit
18415,1997-04-26T11:01:33+0000,68.6475,-55.8512,18.0,4.0,ML,eastern Davis Strait.
18453,1997-05-05T07:10:13+0000,66.3184,-142.381,0.0,4.4,ML,Eastern Alaska.
18537,1997-05-24T18:52:09+0000,45.9112,-74.2399,18.0,4.2,MN,WESTERN QUEBEC SEISMIC ZONE. FELT.
18697,1997-06-23T19:13:27+0000,47.5979,-122.5849,4.6,4.5,Mw,19 km W   of Seattle
18702,1997-06-24T14:23:13+0000,48.3905,-119.9124,5.0,4.1,ML,Felt. Eastern Washington.
18704,1997-06-24T14:40:59+0000,49.2371,-123.6207,3.2,4.6,ML,20 km SW  of Gibsons
18780,1997-07-02T12:40:50+0000,65.1428,-133.8104,0.0,4.4,ML,257 km SSE of Fort McPherson
18784,1997-07-03T06:22:53+0000,60.3418,-42.0239,18.0,4.0,ML,1168 km NE from Aillik
18820,1997-07-10T06:49:27+0000,49.2307,-127.8813,10.0,4.4,Mw,138 km SW of Gold R.
18855,1997-07-14T23:41:56+0000,59.6054,-76.6364,18.0,4.2,MN,BOOTHIA UNGAVA SEISMIC ZONE.
18924,1997-07-29T08:18:22+0000,72.1774,-65.0808,18.0,4.1,ML,229 km NE from Clyde River
19011,1997-08-15T18:08:36+0000,59.0283,-136.8424,10.0,4.1,ML,Glacier Bay
19017,1997-08-16T06:23:35+0000,48.848,-129.1962,10.0,4.4,Mw,241 km SW of Tofino
19189,1997-09-20T04:39:53+0000,50.7607,-130.5877,10.0,4.7,mb,West of Vancouver Island
19190,1997-09-20T04:39:53+0000,50.7579,-130.574,10.0,5.3,Mw,222 km W   of Pt. Hardy
19196,1997-09-20T07:09:57+0000,50.7746,-130.5617,10.0,5.3,Mw,221 km W   of Pt. Hardy
19264,1997-10-04T15:15:57+0000,47.932,-128.4772,10.0,4.4,Mw,232 km SW of Tofino
19333,1997-10-21T08:10:29+0000,50.4115,-130.1689,10.0,4.0,mb,West of Vancouver Island
19334,1997-10-21T08:10:29+0000,50.412,-130.1683,10.0,4.6,Mw,197 km W   of Pt. Hardy
19363,1997-10-28T11:44:18+0000,47.6718,-69.9051,11.3,4.7,MN,CHARLEVOIX SEISMIC ZONE
19393,1997-11-06T02:34:33+0000,46.8011,-71.4239,22.5,5.1,MN,Quebec City Region. Felt.
19426,1997-11-10T15:47:04+0000,62.2651,-124.5783,0.0,4.0,MN,Mackenzie Mountains
19431,1997-11-11T21:16:36+0000,64.7731,-142.9574,0.0,4.1,ML,Eastern Alaska.
19494,1997-11-25T21:03:52+0000,64.2087,-132.8823,5.0,4.8,ML,Wernecke Mountains
19495,1997-11-25T22:28:12+0000,64.221,-132.9239,0.0,5.1,ML,315 km E   of Dawson
19524,1997-12-06T08:06:47+0000,64.8442,-88.1877,18.0,5.7,MN,Wager Bay region
19603,1997-12-20T04:22:34+0000,50.4473,-130.342,10.0,4.7,Mw,208 km SW of Pt. Hardy
19604,1997-12-20T04:22:34+0000,50.4429,-130.3358,10.0,4.7,Mw,208 km W   of Pt. Hardy
19635,1997-12-27T04:37:29+0000,61.5979,-141.033,0.0,4.5,ML,Wrangell Mountains
19651,1997-12-28T11:56:11+0000,70.5763,-65.0494,18.0,4.4,ML,BAFFIN BAY SEISMIC ZONE.
19767,1998-01-21T08:39:21+0000,59.0873,-54.736,18.0,5.1,ML,LABRADOR SEA SEISMIC ZONE.
19797,1998-01-28T22:01:38+0000,58.8808,-137.5994,10.0,4.4,ML,Southeastern Alaska.
19808,1998-01-30T15:42:35+0000,65.5785,-143.9032,0.0,4.2,ML,Eastern Alaska. Felt
19846,1998-02-05T18:33:07+0000,58.3856,-138.47,10.0,5.1,ML,116 km SE  of Yakutat
19864,1998-02-08T19:11:57+0000,50.4927,-130.2711,10.0,4.5,Mw,202 km W   of Pt. Hardy
19897,1998-02-14T05:45:26+0000,50.8454,-130.4844,10.0,4.5,Mw,216 km W   of Pt. Hardy
19899,1998-02-14T06:19:06+0000,50.8555,-130.5107,10.0,4.6,Mw,218 km W   of Pt. Hardy
19902,1998-02-14T15:25:58+0000,75.7946,-118.2,18.0,4.4,MN,Fitzwilliam Strait
19926,1998-02-18T18:46:54+0000,49.5427,-129.8578,10.0,4.6,Mw,216 km SW of Pt. Hardy
20036,1998-03-11T12:49:00+0000,76.3292,-91.5369,18.0,4.1,MN,Devon Island
20062,1998-03-17T06:27:05+0000,43.7641,-56.4301,18.0,4.4,ML,Laurentian Slope.
20117,1998-03-27T00:32:31+0000,76.7976,-120.12,18.0,4.2,ML,Prince Patrick Island
20168,1998-04-07T05:11:44+0000,64.6455,-137.529,10.0,4.3,ML,Ogilvie Mountains
20210,1998-04-14T14:27:31+0000,81.8749,-79.4405,18.0,4.3,mb,Northern Ellsmere Island
20240,1998-04-18T16:22:52+0000,45.578,-74.9688,18.0,4.1,MN,Eastern Ontario. Felt
20297,1998-04-30T01:22:03+0000,76.9576,-106.7601,18.0,4.4,MN,Hazen Strait
20325,1998-05-04T11:00:16+0000,71.0512,-135.0384,35.0,4.3,MLSn,Beaufort Sea.
20397,1998-05-21T02:05:29+0000,57.8294,-60.9425,18.0,4.0,ML,LABRADOR SEA.
20478,1998-06-09T00:34:44+0000,80.9326,-90.9375,18.0,5.3,ML,Northern Ellesmere Island
20495,1998-06-12T20:24:35+0000,48.892,-129.0324,10.0,4.2,MLSn,West of Vancouver Island
20560,1998-06-25T22:51:54+0000,49.9941,-130.2353,10.0,5.3,Mw,215 km WSW of Pt. Hardy
20602,1998-07-09T01:17:16+0000,60.6716,-43.6498,18.0,4.1,ML,Southern Greenland.
20611,1998-07-10T03:05:28+0000,50.5462,-130.3192,10.0,4.1,Mw,205 km W   of Pt. Hardy
20629,1998-07-14T01:05:35+0000,48.7283,-129.1439,10.0,4.7,Mw,240 km SW of Tofino
20630,1998-07-14T01:49:49+0000,48.7734,-129.0086,10.0,4.3,Mw,229 km SW of Tofino
20632,1998-07-14T02:27:05+0000,48.7729,-129.015,10.0,4.5,Mw,230 km SW of Tofino
20642,1998-07-15T00:30:16+0000,47.5191,-129.195,10.0,4.7,Mw,302 km SW of Tofino
20644,1998-07-15T07:08:04+0000,47.0286,-66.6179,5.0,4.0,MN,Miramichi region
20689,1998-07-28T11:38:48+0000,59.2213,-137.86,10.0,4.7,ML,93 km E   of Yakutat
20701,1998-07-30T08:57:21+0000,46.1945,-74.8048,10.0,4.4,MN,Near Mont Tremblant
20720,1998-07-31T07:40:28+0000,51.3602,-130.7764,10.0,4.7,Mw,203 km WSW of Bella Bella
20721,1998-07-31T08:18:01+0000,51.3328,-130.789,10.0,4.3,Mw,205 km WSW of Bella Bella
20751,1998-08-06T02:43:38+0000,52.1252,-131.6343,20.0,4.4,Mw,125 km S   of Sandspit
20760,1998-08-06T18:11:18+0000,48.8792,-129.2227,10.0,4.6,Mw,240 km SW of Pt. Hardy
20761,1998-08-06T18:17:23+0000,48.8851,-129.3487,10.0,4.8,Mw,245 km SW  of Pt. Hardy
20810,1998-08-16T19:25:20+0000,50.0118,-130.2323,10.0,4.3,Mw,214 km WSW of Pt. Hardy
20825,1998-08-19T04:39:07+0000,50.3843,-130.3292,10.0,4.9,Mw,208 km W   of Pt. Hardy
20876,1998-08-30T11:33:33+0000,50.9092,-130.6391,10.0,6.2,Mw,222 km WSW of Bella Bella
20884,1998-08-30T18:20:45+0000,62.1612,-142.3111,5.0,4.0,ML,Wrangell Mountains
20891,1998-09-01T07:43:01+0000,50.8926,-130.688,10.0,4.3,Mw,226 km WSW of Bella Bella
20892,1998-09-01T09:19:42+0000,49.1426,-127.7758,10.0,4.5,Mw,135 km WSW of Gold R.
20897,1998-09-01T18:12:49+0000,50.731,-130.5773,10.0,4.8,Mw,222 km W   of Pt. Hardy
20942,1998-09-09T14:48:41+0000,54.1577,-133.9372,20.0,4.4,Mw,117 km W   of Masset
20991,1998-09-19T14:25:28+0000,49.9596,-130.2406,10.0,5.0,Mw,216 km WSW of Pt. Hardy
21018,1998-09-25T19:52:54+0000,41.52,-80.53,5.0,5.4,MN,Ohio-Pennsylvania border
21019,1998-09-26T05:13:04+0000,63.4357,-126.6391,5.0,4.3,MN,Mackenzie Mountains
21036,1998-09-30T11:15:22+0000,48.8987,-129.1319,10.0,4.0,Mw,235 km SW of Pt. Hardy
21039,1998-09-30T16:26:27+0000,66.8821,-93.2826,18.0,4.5,MN,District of Keewatin
21056,1998-10-04T11:31:37+0000,59.0345,-136.4813,5.0,4.2,ML,72 km W   of Haines
21106,1998-10-14T01:36:21+0000,60.6874,-43.8253,18.0,5.2,mb,Southern Greenland Coast.
21145,1998-10-22T09:43:35+0000,49.3408,-66.8819,18.0,4.1,MN,LOWER ST. LAWRENCE SEISMIC ZONE
21199,1998-10-31T18:25:21+0000,60.1512,-141.0149,5.0,4.3,ML,Near Icy Bay
21200,1998-10-31T18:30:44+0000,60.2069,-140.9645,5.0,4.4,ML,Near Icy Bay
21201,1998-10-31T19:24:44+0000,60.1249,-141.0139,10.0,4.0,ML,Near Icy Bay
21245,1998-11-08T21:22:08+0000,60.8057,-43.9322,18.0,4.5,ML,Southern Greenland.
21249,1998-11-09T19:32:17+0000,59.3965,-139.1132,5.0,4.0,ML,Near Yakutat Bay
21251,1998-11-10T01:32:46+0000,59.4168,-139.1536,5.0,4.3,ML,Near Yakutat Bay
21367,1998-11-28T22:11:25+0000,61.0353,-59.045,18.0,4.1,ML,LABRADOR SEA SEISMIC ZONE.
21415,1998-12-10T07:15:12+0000,59.222,-136.4472,10.0,4.0,ML,North of Glacier Bay
21436,1998-12-16T05:54:03+0000,55.2791,-135.0361,10.0,4.5,ML,Coast of southeastern Alaska.
21456,1998-12-22T01:17:47+0000,48.0016,-115.241,10.0,4.6,ML,Northwestern Montana. Felt
21458,1998-12-22T12:28:04+0000,51.7778,-144.8254,10.0,4.4,MLSn,849 km WSW of Sitka
21459,1998-12-22T17:04:35+0000,79.931,-91.0414,18.0,4.4,MN,Axel Herberg Island
21490,1998-12-27T21:51:59+0000,74.3038,-70.2946,18.0,4.2,ML,BAFFIN BAY SEISMIC ZONE.
21512,1999-01-01T09:28:10+0000,79.8637,-110.24,18.0,5.3,mb,Arctic Ocean
21531,1999-01-04T22:41:17+0000,59.0873,-136.5098,10.0,4.2,ML,73 km W   of Haines
21723,1999-02-16T21:02:23+0000,58.452,-142.779,10.0,4.2,MLSn,210 km WSW of Yakutat
21743,1999-02-21T17:34:08+0000,71.0178,-63.4706,18.0,4.2,ML,BAFFIN BAY SEISMIC ZONE.
21777,1999-03-02T07:11:10+0000,76.5363,-91.6214,18.0,4.0,MN,Northern Devon Island
21851,1999-03-16T12:50:48+0000,49.6148,-66.3435,22.5,5.1,MN,65 km S from SEPT-ILES
21967,1999-03-26T05:32:47+0000,58.8622,-137.3256,10.0,4.0,ML,Southeastern Alaska.
21994,1999-04-02T06:39:59+0000,59.1738,-137.3316,0.0,4.0,ML,St. Elias Mountains
22066,1999-04-17T11:33:05+0000,50.4885,-130.252,10.0,4.7,Mw,201 km W   of Pt. Hardy
22067,1999-04-17T12:21:40+0000,50.5048,-130.2819,10.0,4.5,Mw,203 km W   of Pt. Hardy
22159,1999-05-12T03:34:06+0000,61.6348,-130.3368,5.0,4.3,Mw,187 km NW  of Watson Lk.
22227,1999-05-24T05:22:35+0000,60.1063,-139.4193,5.0,4.4,ML,90 km NE of Yakutat
22228,1999-05-24T09:08:12+0000,60.1476,-139.4453,5.0,4.1,ML,Near Yakutat Bay
22244,1999-05-27T08:08:55+0000,58.6708,-136.7888,10.0,5.7,Mw,102 km WSW of Haines
22302,1999-06-09T19:08:19+0000,47.938,-128.8014,10.0,4.6,Mw,Northern Juan de Fuca ridge.
22360,1999-06-19T09:29:43+0000,47.7213,-128.9543,10.0,4.6,Mw,Northern Juan de Fuca ridge.
22415,1999-06-28T10:21:18+0000,48.8347,-129.2881,10.0,4.9,Mw,247 km SW  of Pt. Hardy
22440,1999-07-02T11:45:29+0000,49.2321,-129.4194,10.0,5.8,Mw,217 km SW  of Pt. Hardy
22443,1999-07-03T01:43:29+0000,47.1003,-123.5034,40.0,5.5,Mb,100 km WSW of Seattle. Felt
22444,1999-07-03T01:43:54+0000,47.074,-123.4637,40.7,6.1,Mw,WSW of Seattle
22451,1999-07-05T03:34:58+0000,49.4272,-129.4103,10.0,4.1,Mw,West of Vancouver Island
22460,1999-07-06T05:30:16+0000,47.2901,-129.0555,10.0,4.3,Mw,Northern Juan de Fuca ridge.
22510,1999-07-17T20:07:39+0000,47.6537,-129.0129,10.0,4.8,Mw,Northern Juan de Fuca ridge.
22527,1999-07-22T12:07:42+0000,50.7102,-130.5564,10.0,4.2,Mw,221 km W   of Pt. Hardy
22542,1999-07-26T01:41:50+0000,62.1645,-124.1393,10.0,4.7,MN,Nahanni
22555,1999-07-29T12:50:56+0000,60.8963,-58.0173,18.0,5.3,ML,LABRADOR SEA SEISMIC ZONE.
22609,1999-08-14T17:16:25+0000,48.2262,-129.1178,10.0,4.0,Mw,Northern Juan de Fuca ridge.
22752,1999-09-11T21:23:24+0000,60.2488,-137.0529,5.0,5.0,ML,61 km SE  of Haines Jct.
22884,1999-10-07T12:03:03+0000,50.5352,-130.3667,10.0,4.2,Mw,209 km W   of Pt. Hardy
22895,1999-10-10T02:52:46+0000,48.7785,-129.6523,10.0,4.6,Mw,West of Vancouver Island
22902,1999-10-10T13:36:24+0000,48.739,-129.6323,10.0,4.6,Mw,West of Vancouver Island
22912,1999-10-14T08:29:25+0000,50.4667,-130.214,10.0,4.4,Mw,199 km W   of Pt. Hardy
22939,1999-10-19T05:49:00+0000,57.9979,-136.9647,0.0,4.6,Mw,143 km WNW of Sitka
22940,1999-10-19T08:50:43+0000,66.7233,-135.6642,20.0,4.0,ML,Richardson Mountains
22970,1999-10-26T01:36:33+0000,49.0277,-129.7712,10.0,4.6,Mw,West of Vancouver Island
22972,1999-10-26T19:50:59+0000,60.0272,-141.0382,5.0,4.1,ML,Near Icy Bay
22973,1999-10-26T20:27:32+0000,59.9711,-141.0903,0.0,4.1,ML,Near Icy Bay
22998,1999-10-31T20:14:10+0000,45.856,-74.304,18.0,4.2,MN,Felt
23007,1999-11-02T08:45:21+0000,45.1955,-56.0745,18.0,4.5,ML,Laurentian slope
23111,1999-11-29T10:03:49+0000,62.1723,-124.4848,0.0,4.1,Mw,Nahanni
23145,1999-12-07T05:35:58+0000,75.3847,-120.44,18.0,5.7,ML,McClure Strait
23146,1999-12-07T06:02:49+0000,75.383,-120.4,18.0,4.0,ML,McClure Strait
23166,1999-12-11T12:53:40+0000,48.5208,-123.2721,53.0,4.9,Mw,Victoria
23170,1999-12-12T16:37:59+0000,51.3244,-131.0744,10.0,4.8,Mw,220 km SSE of Sandspit
23227,1999-12-25T06:49:55+0000,48.6879,-125.8654,30.8,5.0,Mw,West of Vancouver Island
23268,2000-01-01T11:22:58+0000,46.84,-78.925,12.0,5.2,MN,Temiscamingue Region
23310,2000-01-03T12:26:40+0000,50.4757,-130.3268,10.0,4.3,Mw,207 km W   of Pt. Hardy
23319,2000-01-06T10:42:25+0000,58.0681,-136.808,1.0,6.4,Mw,142 km W   of Juneau
23321,2000-01-06T11:14:18+0000,58.1354,-136.7782,1.0,4.1,ML,139 km W   of Juneau
23323,2000-01-06T11:36:45+0000,58.0471,-136.793,1.0,4.7,ML,141 km NW  of Sitka
23396,2000-01-18T06:56:07+0000,50.5326,-130.3623,10.0,4.5,Mw,208 km W   of Pt. Hardy
23432,2000-01-23T05:53:58+0000,52.246,-131.8393,20.0,4.3,Mw,111 km S   of Sandspit
23535,2000-02-08T23:27:04+0000,47.5108,-128.8559,10.0,4.6,Mw,Northern Juan de Fuca ridge.
23547,2000-02-10T01:53:38+0000,59.0864,-54.266,18.0,4.0,ML,Labrador Sea.
23595,2000-02-18T10:54:06+0000,48.9129,-128.5917,10.0,4.4,Mw,West of Vancouver Island
23614,2000-02-21T22:35:50+0000,49.1877,-130.0555,10.0,4.8,Mw,West of Vancouver Island
23615,2000-02-21T22:35:50+0000,49.1867,-130.0362,10.0,4.8,Mw,252 km WSW of Pt. Hardy
23623,2000-02-23T17:30:01+0000,64.902,-133.6603,10.0,4.1,ML,Wernecke Mountains
23669,2000-03-04T02:42:02+0000,49.042,-113.8362,11.4,4.3,ML,Southern B.C. - Alberta border. Felt
23732,2000-03-16T03:51:55+0000,65.6012,-85.6783,18.0,4.1,MN,Southampton Island
23741,2000-03-17T21:07:50+0000,48.8259,-129.1314,10.0,4.8,Mw,West of Vancouver Island
23783,2000-03-25T16:30:00+0000,49.4653,-127.6678,10.0,4.5,Mw,115 km W   of Gold R.
23827,2000-04-01T02:28:35+0000,50.544,-130.347,10.0,4.2,Mw,207 km W   of Pt. Hardy
23845,2000-04-05T11:29:35+0000,71.1823,-95.6158,18.0,4.1,MN,Boothia Penninsula
23850,2000-04-06T15:28:18+0000,49.1888,-130.2853,10.0,4.3,Mw,265 km WSW of Pt. Hardy
23885,2000-04-11T10:58:12+0000,54.8434,-142.2086,10.0,4.5,MLSn,494 km WSW of Sitka
23938,2000-04-20T08:46:56+0000,44.0079,-74.3232,18.0,4.0,MN,Northern New York State. Felt.
24000,2000-04-30T01:58:29+0000,50.8193,-130.622,10.0,4.3,Mw,226 km W   of Pt. Hardy
24006,2000-04-30T05:49:25+0000,50.7559,-130.6584,10.0,4.6,Mw,228 km W   of Pt. Hardy
24014,2000-04-30T08:29:25+0000,50.8274,-130.6442,10.0,5.4,Mw,227 km W   of Pt. Hardy
24018,2000-04-30T10:13:00+0000,50.5225,-130.9313,10.0,5.7,Mw,249 km W   of Pt. Hardy
24022,2000-04-30T10:54:06+0000,51.3746,-129.9167,10.0,5.1,Mw,West of Vancouver Island
24037,2000-05-01T11:10:14+0000,50.6208,-130.5186,10.0,4.7,Mw,219 km W   of Pt. Hardy
24055,2000-05-02T23:59:20+0000,59.6195,-139.047,1.0,5.6,Mw,44 km NE  of Yakutat
24132,2000-05-14T20:01:16+0000,49.947,-130.18,10.0,4.9,Mw,West of Vancouver Island
24133,2000-05-14T20:01:16+0000,49.9472,-130.1792,10.0,4.9,Mw,213 km WSW of Pt. Hardy
24146,2000-05-15T05:12:53+0000,49.9971,-130.2126,10.0,4.7,Mw,213 km WSW of Pt. Hardy
24148,2000-05-15T05:58:13+0000,49.989,-130.1408,10.0,5.3,Mw,West of Vancouver Island
24149,2000-05-15T05:58:13+0000,49.9887,-130.1409,10.0,5.3,Mw,209 km WSW of Pt. Hardy
24150,2000-05-15T07:06:01+0000,50.0506,-130.1435,10.0,4.4,Mw,206 km WSW of Pt. Hardy
24151,2000-05-15T07:11:42+0000,49.9389,-130.324,10.0,5.6,Mw,223 km WSW of Pt. Hardy
24154,2000-05-15T07:49:39+0000,50.0317,-130.2132,10.0,4.4,Mw,212 km WSW of Pt. Hardy
24351,2000-06-09T21:25:14+0000,50.0702,-130.4321,10.0,4.6,Mw,225 km WSW of Pt. Hardy
24363,2000-06-10T15:04:43+0000,50.5142,-130.4167,10.0,5.0,Mw,212 km W   of Pt. Hardy
24467,2000-06-27T17:56:55+0000,65.1969,-133.4885,10.0,4.7,ML,253 km SSE of Fort McPherson
24510,2000-07-03T17:24:44+0000,61.7767,-141.8231,10.0,4.1,ML,Wrangell Mountains
24512,2000-07-03T19:23:00+0000,61.6753,-142.1679,5.0,4.1,ML,Wrangell Mountains
24610,2000-07-12T15:01:49+0000,47.5621,-71.0636,18.0,4.2,MN,Laurentide Fauna Reserve
24658,2000-07-18T08:53:00+0000,65.2644,-133.4362,1.0,4.0,Mw,246 km SE of Ft. McPherson
24762,2000-08-01T21:33:49+0000,49.4925,-126.133,41.3,5.2,Mw,West coast Vancouver Island
24763,2000-08-01T21:33:49+0000,49.4932,-126.1335,41.3,5.2,Mw,21 km S   of Gold R.
